Country,Year,"Count of terrorist incidents"
Brazil,1998,3
Brazil,2001,4
Brazil,2002,3
Brazil,2003,3
Brazil,2005,2
Bulgaria,1982,1
Bulgaria,1990,1
Bulgaria,1991,1
Bulgaria,1994,1
Bulgaria,1995,1
Bulgaria,1997,1
Bulgaria,1998,2
Bulgaria,2001,1
Bulgaria,2002,2
Bulgaria,2005,1
Burundi,1994,1
Burundi,1995,7
Burundi,1996,3
Burundi,1999,1
Burundi,2003,1
Burundi,2007,1
Cambodia,1970,1
Cambodia,1971,3
Cambodia,1972,2
Cambodia,1978,1
Cambodia,1992,6
Cambodia,1993,13
Cambodia,1994,3
Cambodia,1995,1
Cambodia,1996,5
Cambodia,1997,3
Cambodia,1998,7
Cambodia,1999,1
Cambodia,2000,2
Cambodia,2001,5
Cambodia,2002,3
Cambodia,2005,3
Cambodia,2007,1
Canada,1968,3
Canada,1969,2
Canada,1970,1
Canada,1971,1
Canada,1972,8
Canada,1974,1
Canada,1980,1
Canada,1982,3
Canada,1984,2
Canada,1985,2
Canada,1986,1
Canada,1988,1
Canada,1989,1
Canada,1992,1
Canada,1993,1
Canada,2004,1
Canada,2005,1
Canada,2006,3
"Central African Republic",1997,1
Chad,1978,3
Chad,1983,2
Chad,1984,2
Chad,1985,1
Chad,1987,1
Chad,1989,1
Chad,1995,1
Chad,2002,1
Chile,1950,3
Chile,1951,2
Chile,1952,1
Chile,1953,11
Chile,1954,2
Chile,1955,3
Chile,1956,1
Chile,1957,1
Chile,1958,1
Chile,1959,1
Chile,1960,5
Chile,1961,5
Chile,1962,24
Chile,1963,14
Chile,1964,13
Chile,1965,8
Chile,1966,25
Chile,1967,22
Chile,1968,33
Chile,1969,23
Chile,1970,11
Chile,1971,4
Chile,1972,1
Chile,1973,1
Chile,1974,4
Chile,1975,3
Chile,1976,1
Chile,1977,1
Chile,1978,4
Chile,1979,2
Chile,1980,3
Chile,1981,14
Chile,1982,6
China,1976,1
China,1991,1
China,1993,1
China,1996,1
China,1997,2
China,1998,1
China,1999,4
China,2001,6
China,2002,1
China,2004,2
China,2005,2
China,2008,6
Colombia,1968,2
Colombia,1969,1
Colombia,1970,3
Colombia,1971,2
Colombia,1972,2
Colombia,1973,1
Colombia,1975,5
Colombia,1976,16
Colombia,1977,8
Colombia,1978,10
Colombia,1979,2
Colombia,1980,7
Colombia,1981,8
Colombia,1982,5
Colombia,1983,12
Colombia,1984,10
Colombia,1985,18
Colombia,1986,29
Colombia,1987,12
Colombia,1988,26
Colombia,1989,22
Colombia,1990,8
Colombia,1991,3
Colombia,1992,21
Colombia,1993,9
Colombia,1994,31
Colombia,1995,10
Colombia,1996,22
Colombia,1997,12
Colombia,1998,136
Colombia,1999,95
Colombia,2000,192
Colombia,2001,126
Colombia,2002,432
Colombia,2003,147
Colombia,2004,76
Colombia,2005,104
Colombia,2006,135
Colombia,2007,50
Colombia,2008,56
Colombia,2009,47
Congo,1987,1
Congo,1990,1
"Costa Rica",1970,2
"Costa Rica",1976,8
"Costa Rica",1977,3
"Costa Rica",1979,2
"Costa Rica",1981,4
"Costa Rica",1982,3
"Costa Rica",1983,3
"Costa Rica",1984,2
"Costa Rica",1986,2
"Costa Rica",1987,1
"Costa Rica",1988,3
"Costa Rica",1989,1
"Costa Rica",1990,1
"Costa Rica",1991,2
"Costa Rica",1992,1
"Costa Rica",1993,1
"Costa Rica",2001,1
"Cote d'Ivoire",1989,1
"Cote d'Ivoire",1990,1
"Cote d'Ivoire",2003,1
Croatia,1994,2
Croatia,1995,1
Croatia,1997,2
Croatia,1998,6
Croatia,1999,1
Croatia,2001,4
Croatia,2002,4
Croatia,2005,1
Croatia,2006,2
Cuba,1973,1
Cuba,1976,1
Cuba,1981,1
Cuba,1991,1
Cuba,1992,1
Cuba,1994,1
Cuba,1997,13
Cyprus,1973,5
Cyprus,1974,1
Cyprus,1977,7
Cyprus,1978,1
Cyprus,1979,2
Cyprus,1981,2
Cyprus,1982,1
Cyprus,1983,2
Cyprus,1984,7
Cyprus,1985,10
Cyprus,1986,2
Cyprus,1987,4
Cyprus,1988,5
Cyprus,1989,2
Cyprus,1990,1
Cyprus,1991,4
Cyprus,1994,1
Cyprus,1996,2
Cyprus,1998,3
Cyprus,2001,2
Cyprus,2003,2
Cyprus,2004,6
"Czech Republic",1993,1
"Czech Republic",1998,1
"Czech Republic",2002,2
"Czech Republic",2003,1
Czechoslovakia,1989,1
Czechoslovakia,1992,1
"Democratic Republic of Congo",1972,1
"Democratic Republic of Congo",1973,1
"Democratic Republic of Congo",1977,2
"Democratic Republic of Congo",1994,1
"Democratic Republic of Congo",1996,2
"Democratic Republic of Congo",2001,2
"Democratic Republic of Congo",2009,1
Denmark,1968,1
Denmark,1969,2
Denmark,1971,1
Denmark,1977,1
Denmark,1980,1
Denmark,1981,4
Denmark,1985,8
Denmark,1986,1
Denmark,1989,1
Denmark,1993,1
Denmark,1994,1
Denmark,1995,1
Denmark,1999,2
Denmark,2000,1
Denmark,2004,1
Denmark,2005,1
Denmark,2006,1
Djibouti,1978,1
Djibouti,1987,1
Djibouti,1990,1
Djibouti,2004,1
"Dominican Republic",1968,6
"Dominican Republic",1970,3
"Dominican Republic",1971,1
"Dominican Republic",1973,1
"Dominican Republic",1974,2
"Dominican Republic",1978,1
"Dominican Republic",1987,3
"Dominican Republic",1988,2
"Dominican Republic",1989,8
Ecuador,1968,4
Ecuador,1969,3
Ecuador,1970,1
Ecuador,1971,1
Ecuador,1973,1
Ecuador,1974,2
Ecuador,1976,1
Ecuador,1982,2
Ecuador,1983,1
Ecuador,1988,1
Ecuador,1989,5
Ecuador,1991,7
Ecuador,1993,1
Ecuador,1994,1
Ecuador,1997,1
Ecuador,1998,3
Ecuador,1999,2
Ecuador,2000,6
Ecuador,2001,4
Ecuador,2002,11
Ecuador,2003,9
Ecuador,2004,3
Ecuador,2005,3
Ecuador,2006,3
Ecuador,2007,1
Egypt,1969,1
Egypt,1971,1
Egypt,1972,4
Egypt,1974,2
Egypt,1976,5
Egypt,1977,4
Egypt,1979,3
Egypt,1984,21
Egypt,1985,5
Egypt,1986,6
Egypt,1987,2
Egypt,1988,6
Egypt,1989,2
Egypt,1990,4
Egypt,1991,1
Egypt,1992,6
Egypt,1993,15
Egypt,1994,16
Egypt,1995,5
Egypt,1996,5
Egypt,1997,2
Egypt,1998,2
Egypt,2002,1
Egypt,2004,3
Egypt,2005,7
Egypt,2006,2
Egypt,2007,2
"El Salvador",1971,2
"El Salvador",1972,2
"El Salvador",1973,1
"El Salvador",1974,1
"El Salvador",1976,4
"El Salvador",1977,1
"El Salvador",1978,14
"El Salvador",1979,19
"El Salvador",1980,16
"El Salvador",1981,12
"El Salvador",1982,2
"El Salvador",1983,2
"El Salvador",1984,2
"El Salvador",1985,1
"El Salvador",1986,1
"El Salvador",1988,14
"El Salvador",1989,13
"El Salvador",1990,1
"El Salvador",1991,3
"El Salvador",1992,2
"El Salvador",1993,1
"El Salvador",1994,1
"El Salvador",1995,1
"El Salvador",2001,1
"El Salvador",2003,1
Eritrea,1974,1
Eritrea,1996,1
Eritrea,2003,1
Eritrea,2004,2
Estonia,1992,1
Estonia,1993,2
Estonia,1994,1
Estonia,2002,1
Estonia,2003,1
Estonia,2004,1
Ethiopia,1969,2
Ethiopia,1970,3
Ethiopia,1971,2
Ethiopia,1972,1
Ethiopia,1974,5
Ethiopia,1975,8
Ethiopia,1976,8
Ethiopia,1977,4
Ethiopia,1978,1
Ethiopia,1983,2
Ethiopia,1984,1
Ethiopia,1985,1
Ethiopia,1986,2
Ethiopia,1987,3
Ethiopia,1988,2
Ethiopia,1992,2
Ethiopia,1994,1
Ethiopia,1995,3
Ethiopia,1996,3
Ethiopia,1997,2
Ethiopia,1999,2
Ethiopia,2000,2
Ethiopia,2002,3
Ethiopia,2003,4
Ethiopia,2004,3
Ethiopia,2006,9
Ethiopia,2007,2
Ethiopia,2008,4
"Falkland Islands",1983,1
Fiji,1987,1
Fiji,1989,1
Finland,1991,1
France,1968,4
France,1969,1
France,1970,1
France,1971,2
France,1972,12
France,1973,13
France,1974,14
France,1975,31
France,1976,38
France,1977,23
France,1978,15
France,1979,21
France,1980,28
France,1981,37
France,1982,55
France,1983,27
France,1984,25
France,1985,19
France,1986,26
France,1987,14
France,1988,10
France,1989,9
France,1990,7
France,1991,14
France,1992,7
France,1993,15
France,1994,3
France,1995,15
France,1996,15
France,1997,4
France,1998,38
France,1999,108
France,2000,44
France,2001,72
France,2002,72
France,2003,117
France,2004,71
France,2005,58
France,2006,67
France,2007,37
France,2008,24
France,2009,10
"French Polynesia",1981,1
"French Polynesia",1984,1
Gabon,1979,1
Georgia,1993,1
Georgia,1995,3
Georgia,1997,2
Georgia,1998,21
Georgia,1999,5
Georgia,2000,2
Georgia,2001,3
Georgia,2002,8
Georgia,2003,15
Georgia,2004,12
Georgia,2005,5
Georgia,2006,2
Georgia,2007,4
Georgia,2008,16
Germany,1998,1
Germany,1999,3
Germany,2000,4
Germany,2001,1
Germany,2002,2
Germany,2003,7
Germany,2004,1
Germany,2006,4
Germany,2007,4
Ghana,1992,1
Gibraltar,1973,1
Gibraltar,1988,1
Greece,1968,1
Greece,1969,6
Greece,1970,6
Greece,1971,9
Greece,1972,7
Greece,1973,14
Greece,1974,7
Greece,1975,2
Greece,1976,11
Greece,1977,12
Greece,1978,12
Greece,1980,5
Greece,1981,12
Greece,1982,22
Greece,1983,9
Greece,1984,16
Greece,1985,26
Greece,1986,10
Greece,1987,11
Greece,1988,13
Greece,1989,6
Greece,1990,18
Greece,1991,33
Greece,1992,2
Greece,1994,18
Greece,1995,3
Greece,1996,8
Greece,1997,2
Greece,1998,42
Greece,1999,55
Greece,2000,49
Greece,2001,22
Greece,2002,29
Greece,2003,55
Greece,2004,42
Greece,2005,25
Greece,2006,19
Greece,2007,11
Greece,2008,21
Greece,2009,59
Grenada,1983,1
Guadeloupe,1980,1
Guadeloupe,1985,1
Guatemala,1968,2
Guatemala,1970,5
Guatemala,1971,2
Guatemala,1975,1
Guatemala,1976,1
Guatemala,1977,1
Guatemala,1978,4
Guatemala,1979,1
Guatemala,1980,13
Guatemala,1981,13
Guatemala,1982,14
Guatemala,1983,2
Guatemala,1984,3
Guatemala,1985,4
Guatemala,1986,5
Guatemala,1988,3
Guatemala,1989,9
Guatemala,1990,4
Guatemala,1991,4
Guatemala,1992,2
Guatemala,1994,4
Guatemala,1995,3
Guatemala,1997,1
Guatemala,1998,4
Guatemala,1999,1
Guatemala,2001,1
Guatemala,2004,1
Guatemala,2005,1
Guatemala,2006,1
Guinea,2000,1
Guyana,1998,4
Guyana,2006,1
Haiti,1973,1
Haiti,1974,1
Haiti,1983,1
Haiti,1986,1
Haiti,1989,1
Haiti,1995,1
Haiti,1996,2
Haiti,1997,1
Haiti,1998,1
Haiti,1999,1
Haiti,2000,7
Haiti,2001,3
Haiti,2005,2
Honduras,1971,4
Honduras,1973,1
Honduras,1979,2
Honduras,1980,6
Honduras,1981,4
Honduras,1982,9
Honduras,1983,6
Honduras,1984,2
Honduras,1985,1
Honduras,1987,5
Honduras,1988,6
Honduras,1989,9
Honduras,1990,2
Honduras,1991,2
Honduras,1995,1
Honduras,1996,1
Honduras,1997,5
Honduras,1998,1
Honduras,2001,1
Honduras,2002,2
Honduras,2004,2
Honduras,2009,1
"Hong Kong",1982,1
Hungary,1989,1
Hungary,1991,2
Hungary,1992,1
Hungary,1998,2
Hungary,1999,1
Hungary,2002,1
Hungary,2008,4
Iceland,1983,1
India,1950,2
India,1951,1
India,1952,1
India,1953,1
India,1954,1
India,1955,2
India,1956,1
India,1957,1
India,1958,1
India,1959,5
India,1960,5
India,1961,3
India,1962,3
India,1963,1
India,1964,4
India,1965,1
India,1966,1
India,1967,13
India,1968,1
India,1969,3
India,1970,5
India,1971,4
India,1972,4
India,1973,3
India,1974,34
India,1975,22
India,1976,26
India,1977,58
India,1978,76
India,1979,95
India,1980,38
India,1981,185
India,1982,239
India,1983,130
India,1984,78
Indonesia,1977,1
Indonesia,1981,1
Indonesia,1984,1
Indonesia,1986,3
Indonesia,1991,1
Indonesia,1996,3
Indonesia,1998,4
Indonesia,1999,14
Indonesia,2000,27
Indonesia,2001,70
Indonesia,2002,48
Indonesia,2003,9
Indonesia,2004,23
Indonesia,2005,19
Indonesia,2006,7
Indonesia,2007,4
Indonesia,2008,8
Iran,1970,3
Iran,1972,4
Iran,1973,2
Iran,1974,1
Iran,1975,3
Iran,1976,1
Iran,1977,2
Iran,1978,18
Iran,1979,9
Iran,1981,2
Iran,1982,1
Iran,1983,9
Iran,1984,6
Iran,1986,2
Iran,1987,4
Iran,1988,1
Iran,1989,1
Iran,1991,4
Iran,1992,4
Iran,1993,2
Iran,1994,3
Iran,1998,7
Iran,2001,3
Iran,2003,6
Iran,2005,26
Iran,2006,13
Iran,2007,3
Iran,2008,8
Iraq,1975,1
Iraq,1976,2
Iraq,1977,2
Iraq,1979,1
Iraq,1980,3
Iraq,1981,3
Iraq,1982,2
Iraq,1983,3
Iraq,1984,3
Iraq,1985,4
Iraq,1986,1
Iraq,1987,5
Iraq,1989,2
Iraq,1991,1
Iraq,1992,10
Iraq,1993,3
Iraq,1994,8
Iraq,1995,7
Iraq,1996,4
Iraq,1997,1
Iraq,1998,4
Iraq,1999,4
Iraq,2000,4
Iraq,2001,3
Iraq,2002,14
Iraq,2003,147
Iraq,2004,850
Iraq,2005,2349
Iraq,2006,3968
Iraq,2007,2469
Iraq,2008,885
Ireland,1971,1
Ireland,1972,2
Ireland,1975,1
Ireland,1976,2
Ireland,1979,1
Ireland,1981,1
Ireland,1983,2
Ireland,1993,1
Ireland,1994,5
Ireland,1997,2
Ireland,1998,3
Ireland,2000,1
Ireland,2001,1
Ireland,2002,1
Ireland,2003,2
Israel,1968,13
Israel,1969,6
Israel,1970,3
Israel,1971,3
Israel,1972,19
Israel,1974,13
Israel,1975,9
Israel,1976,7
Israel,1977,10
Israel,1978,15
Israel,1979,30
Israel,1980,12
Israel,1981,7
Israel,1982,6
Israel,1983,3
Israel,1984,10
Israel,1985,45
Israel,1986,27
Israel,1987,32
Israel,1988,31
Israel,1989,27
Israel,1990,23
Israel,1991,15
Israel,1992,11
Israel,1993,15
Israel,1994,24
Israel,1995,11
Israel,1996,10
Israel,1997,6
Israel,1998,20
Israel,1999,14
Israel,2000,19
Israel,2001,85
Israel,2002,108
Israel,2003,74
Israel,2004,27
Israel,2005,75
Israel,2006,427
Israel,2007,49
Israel,2008,306
Israel,2009,40
Italy,1968,1
Italy,1969,2
Italy,1970,6
Italy,1971,1
Italy,1972,9
Italy,1973,12
Italy,1974,13
Italy,1975,4
Italy,1976,36
Italy,1977,15
Italy,1978,6
Italy,1979,7
Italy,1980,20
Italy,1981,21
Italy,1982,18
Italy,1983,3
Italy,1984,9
Italy,1985,13
Italy,1986,6
Italy,1987,4
Italy,1988,2
Italy,1989,8
Italy,1990,1
Italy,1991,22
Italy,1992,8
Italy,1993,3
Italy,1994,4
Italy,1996,1
Italy,1997,1
Italy,1998,11
Italy,1999,26
Italy,2000,11
Italy,2001,23
Italy,2002,22
Italy,2003,34
Italy,2004,19
Italy,2005,18
Italy,2006,6
Italy,2007,4
Italy,2008,1
Italy,2009,3
Jamaica,1970,1
Jamaica,1974,2
Jamaica,1976,2
Jamaica,1980,1
Jamaica,1987,2
Japan,1969,3
Japan,1970,2
Japan,1973,2
Japan,1974,5
Japan,1975,2
Japan,1977,1
Japan,1978,2
Japan,1979,1
Japan,1983,8
Japan,1984,2
Japan,1985,2
Japan,1986,3
Japan,1988,4
Japan,1989,1
Japan,1990,3
Japan,1991,3
Japan,1992,2
Japan,1993,4
Japan,1995,2
Japan,1998,9
Japan,1999,2
Japan,2001,6
Japan,2002,4
Japan,2003,10
Japan,2004,1
Japan,2005,1
Jordan,1969,2
Jordan,1970,12
Jordan,1971,6
Jordan,1972,6
Jordan,1974,2
Jordan,1976,1
Jordan,1977,2
Jordan,1983,4
Jordan,1984,4
Jordan,1985,2
Jordan,1987,1
Jordan,1988,2
Jordan,1990,4
Jordan,1991,9
Jordan,1992,2
Jordan,1993,1
Jordan,1994,2
Jordan,1995,1
Jordan,1996,1
Jordan,1997,2
Jordan,1998,7
Jordan,2000,1
Jordan,2001,1
Jordan,2002,3
Jordan,2003,1
Jordan,2005,6
Jordan,2006,1
Jordan,2008,1
Kashmir,1995,1
Kashmir,1998,20
Kashmir,1999,6
Kashmir,2000,11
Kashmir,2001,38
Kashmir,2002,485
Kashmir,2003,238
Kashmir,2004,51
Kashmir,2005,90
Kashmir,2006,140
Kashmir,2007,22
Kashmir,2008,1
Kazakhstan,1998,1
Kazakhstan,2002,1
Kazakhstan,2004,2
Kazakhstan,2005,1
Kazakhstan,2008,2
Kenya,1976,1
Kenya,1980,1
Kenya,1982,1
Kenya,1989,1
Kenya,1994,1
Kenya,1998,1
Kenya,2002,4
Kenya,2003,1
Kenya,2007,1
Kuwait,1972,1
Kuwait,1974,1
Kuwait,1975,1
Kuwait,1976,1
Kuwait,1977,2
Kuwait,1978,2
Kuwait,1980,1
Kuwait,1982,1
Kuwait,1983,5
Kuwait,1985,6
Kuwait,1986,2
Kuwait,1987,5
Kuwait,1988,3
Kuwait,1991,1
Kuwait,1992,6
Kuwait,1993,1
Kuwait,2002,2
Kuwait,2003,3
Kuwait,2004,1
Kyrgyzstan,1998,2
Kyrgyzstan,2001,3
Kyrgyzstan,2002,3
Kyrgyzstan,2003,2
Kyrgyzstan,2004,1
Kyrgyzstan,2005,2
Kyrgyzstan,2007,2
Laos,1976,2
Laos,1982,1
Laos,1989,2
Laos,1990,1
Laos,2002,1
Laos,2004,7
Latvia,1991,1
Latvia,1998,5
Latvia,1999,2
Latvia,2000,1
Lebanon,1969,1
Lebanon,1970,8
Lebanon,1971,3
Lebanon,1972,14
Lebanon,1973,12
Lebanon,1974,13
Lebanon,1975,24
Lebanon,1976,16
Lebanon,1977,8
Lebanon,1978,5
Lebanon,1979,13
Lebanon,1980,16
Lebanon,1981,42
Lebanon,1982,26
Lebanon,1983,36
Lebanon,1984,34
Lebanon,1985,80
Lebanon,1986,61
Lebanon,1987,41
Lebanon,1988,29
Lebanon,1989,18
Lebanon,1990,8
Lebanon,1991,33
Lebanon,1992,3
Lebanon,1993,14
Lebanon,1994,9
Lebanon,1995,4
Lebanon,1996,5
Lebanon,1997,2
Lebanon,1998,11
Lebanon,1999,7
Lebanon,2000,2
Lebanon,2001,8
Lebanon,2002,21
Lebanon,2003,10
Lebanon,2004,3
Lebanon,2005,23
Lebanon,2006,10
Lebanon,2007,1
Lebanon,2008,2
Lesotho,1981,1
Lesotho,1983,1
Liberia,1990,1
Liberia,1992,3
Liberia,1995,1
Liberia,1996,2
Liberia,1999,1
Libya,1972,1
Libya,1977,1
Libya,1978,2
Libya,1979,2
Libya,1980,2
Libya,1981,1
Libya,1983,1
Libya,1984,2
Libya,1985,1
Libya,1989,1
Libya,1990,1
Libya,1998,1
Lithuania,1997,1
Lithuania,1998,4
Lithuania,2007,1
Luxembourg,1977,1
Luxembourg,1981,1
Luxembourg,1983,1
Luxembourg,1985,1
Luxembourg,1987,1
Macedonia,1998,12
Macedonia,1999,2
Macedonia,2001,16
Macedonia,2002,25
Macedonia,2003,7
Macedonia,2004,3
Macedonia,2005,1
Macedonia,2006,1
Madagascar,2001,2
Madagascar,2004,3
Madagascar,2005,2
Malaysia,1970,1
Malaysia,1975,1
Malaysia,1977,2
Malaysia,1983,1
Malaysia,1989,1
Malaysia,1991,3
Malaysia,2000,1
Malaysia,2001,1
Malaysia,2003,1
Malaysia,2006,1
Malaysia,2008,1
Maldives,2006,1
Mali,1994,1
Mali,1997,1
Malta,1977,1
Malta,1980,1
Malta,1983,1
Malta,1984,2
Malta,1985,1
Malta,1987,4
Malta,1995,1
Malta,1997,1
Martinique,1983,1
Mauritania,1977,2
Mauritania,1980,3
Mauritania,1987,1
Mauritania,1996,1
Mauritania,2004,1
Mauritania,2007,1
Mexico,1972,9
Mexico,1973,3
Mexico,1974,14
Mexico,1975,5
Mexico,1976,5
Mexico,1977,6
Mexico,1981,2
Mexico,1984,1
Mexico,1986,2
Mexico,1987,2
Mexico,1989,1
Mexico,1990,1
Mexico,1991,5
Mexico,1994,1
Mexico,1996,2
Mexico,1998,3
Mexico,2000,2
Mexico,2001,2
Mexico,2003,1
Mexico,2004,3
Mexico,2005,7
Mexico,2006,2
Mexico,2007,2
Moldova,1998,2
Moldova,2001,1
Moldova,2004,1
Moldova,2006,2
Mongolia,1998,1
Montenegro,1998,7
Montenegro,2002,5
Montenegro,2004,1
Morocco,1973,2
Morocco,1980,1
Morocco,1982,1
Morocco,1985,5
Morocco,1986,5
Morocco,1987,1
Morocco,1989,1
Morocco,1990,1
Morocco,1994,1
Morocco,1995,1
Morocco,1998,1
Morocco,2003,6
Morocco,2007,2
Mozambique,1971,1
Mozambique,1979,1
Mozambique,1981,1
Mozambique,1982,7
Mozambique,1983,5
Mozambique,1984,1
Mozambique,1985,6
Mozambique,1986,3
Mozambique,1987,3
Mozambique,1988,1
Mozambique,1989,3
Mozambique,1991,1
Mozambique,1993,1
Mozambique,1994,2
Myanmar,1973,1
Myanmar,1983,2
Myanmar,1989,1
Myanmar,1993,1
Myanmar,1997,1
Myanmar,1998,1
Myanmar,1999,1
Myanmar,2000,2
Myanmar,2001,1
Myanmar,2002,3
Myanmar,2003,3
Myanmar,2004,3
Myanmar,2005,12
Myanmar,2006,8
Myanmar,2007,4
Myanmar,2008,6
Namibia,1984,1
Namibia,1988,1
Namibia,1989,1
Nepal,1977,1
