Engine Size (l),Cyl,HP,Average
2.5,6,165,20.5
2.7,6,185,20
4,6,245,19.5
3,6,210,25
3,6,210,25
2.4,4,157,28.5
3,6,210,25
2.4,4,157,28.5
3.3,6,225,24.5
3.3,6,225,24.5
3,6,210,25
1.8,4,180,28.5
1.8,4,130,36
1.8,4,130,36
1.8,4,130,36
1.5,4,108,36
1.5,4,108,39
1.5,4,108,39
3.3,6,230,21
4.7,8,325,15
1.8,4,130,32.5
1.8,4,138,29
1.5,4,110,55
2.4,4,161,24.5
4.7,8,240,15.5
3.3,6,230,23
3.3,6,230,23
2.4,4,142,24.5
3.4,6,190,15.5
3.4,6,190,18
2,4,115,27.5
1.8,4,180,27.5
2,4,115,27
2.8,6,200,25.5
1.9,4,100,42
1.8,4,150,27.5
2,4,115,27
1.8,4,170,26.5
1.8,4,170,26.5
2.8,6,190,22.5
4,8,270,21.5
4,8,270,21.5
4.2,8,335,0
6,12,420,0
3.2,6,220,17.5
2.3,5,242,23
2.4,5,197,24.5
1.9,4,170,25.5
2.5,5,208,23.5
2.5,5,300,21.5
2.3,5,247,24
2.5,5,194,23.5
2.9,6,208,24
2.9,6,268,22.5
1.9,4,170,25.5
2.5,5,208,23.5
2.9,6,268,17.5
